"_time",IPSource,ja3,PortDestination,PortSource,UserAgent,Request
"2018-03-25 14:39:23.136 UTC","106.15.76.85",c3a6cf0bf2e690ac8e1ecf6081f17a50,992,40532,,
"2018-03-25 14:38:41.409 UTC","184.105.139.68",22aa2bdb630c59d5ff64a34017e418c4,443,2414,"-","GET / HTTP/1.1"
"2018-03-25 14:38:10.557 UTC","184.105.139.68",44609cef6ec7084c37c59c6317edb271,443,53942,"-","GET / HTTP/1.1"
"2018-03-25 14:37:04.509 UTC","184.105.139.68",caaddd3ed0a315543d761490b01b08e0,443,21640,"-","GET / HTTP/1.1"
"2018-03-25 14:35:08.373 UTC","139.162.119.197",827f51bae371599533dc9207cb48f86e,443,53454,,
"2018-03-25 14:35:05.120 UTC","141.212.122.48",de13f4c4d70f4211159e2360e806a742,443,45757,,
"2018-03-25 14:34:52.297 UTC","106.15.52.246",c3a6cf0bf2e690ac8e1ecf6081f17a50,992,35160,,
"2018-03-25 14:34:52.194 UTC","106.15.52.246",c3a6cf0bf2e690ac8e1ecf6081f17a50,992,52028,,
"2018-03-25 14:33:13.116 UTC","47.94.52.159",c3a6cf0bf2e690ac8e1ecf6081f17a50,992,41122,,
"2018-03-25 14:10:04.093 UTC","184.105.139.69",22aa2bdb630c59d5ff64a34017e418c4,443,39076,"-","GET / HTTP/1.1"
"2018-03-25 14:09:36.597 UTC","184.105.139.69",44609cef6ec7084c37c59c6317edb271,443,23238,"-","GET / HTTP/1.1"
"2018-03-25 14:08:02.387 UTC","184.105.139.67",22aa2bdb630c59d5ff64a34017e418c4,443,35658,"-","GET / HTTP/1.1"
"2018-03-25 14:07:36.223 UTC","184.105.139.67",44609cef6ec7084c37c59c6317edb271,443,28792,"-","GET / HTTP/1.1"
"2018-03-25 14:06:36.636 UTC","184.105.139.69",caaddd3ed0a315543d761490b01b08e0,443,52830,"-","GET / HTTP/1.1"
"2018-03-25 14:05:02.747 UTC","184.105.139.67",caaddd3ed0a315543d761490b01b08e0,443,47238,"-","GET / HTTP/1.1"
"2018-03-25 14:01:12.764 UTC","47.93.180.168",c3a6cf0bf2e690ac8e1ecf6081f17a50,992,50732,,
"2018-03-25 14:01:11.359 UTC","47.93.180.168",c3a6cf0bf2e690ac8e1ecf6081f17a50,992,35154,,
"2018-03-25 14:01:11.039 UTC","47.93.180.168",c3a6cf0bf2e690ac8e1ecf6081f17a50,992,50818,,
"2018-03-25 13:54:52.720 UTC","216.218.206.66",22aa2bdb630c59d5ff64a34017e418c4,443,14834,"-","GET / HTTP/1.1"
"2018-03-25 13:54:25.760 UTC","216.218.206.66",44609cef6ec7084c37c59c6317edb271,443,62924,"-","GET / HTTP/1.1"
"2018-03-25 13:53:17.720 UTC","216.218.206.66",caaddd3ed0a315543d761490b01b08e0,443,43726,"-","GET / HTTP/1.1"
"2018-03-25 13:42:51.171 UTC","74.82.47.5",22aa2bdb630c59d5ff64a34017e418c4,443,51544,"-","GET / HTTP/1.1"
"2018-03-25 13:42:24.235 UTC","74.82.47.5",44609cef6ec7084c37c59c6317edb271,443,35838,"-","GET / HTTP/1.1"
